id,name,sku,categories,fulfillment,source,cost,margin_pct,price,stock_qty,sizes,size_prices,image,description,featured,active
P027,TruShot 2.0 Trigger Dispenser,311981,New Building Items; Cleaning Tools; TruShot,Supplier Order,Brady,,,24.99,,,,https://www.scjp.com/sites/default/files/styles/product/public/2020-10/TruShot_trigger-800x800.png,Reusable trigger sprayer for the TruShot cartridge system. Built-in 10oz reservoir auto-dilutes as you spray. One dispenser replaces dozens of bottles.,0,1
P028,TruShot 2.0 Restroom Cleaner Cartridge (Qty 4),379844,New Building Items; Chemicals; TruShot,Supplier Order,Brady,,,49.49,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/306abd80b2be034_md.jpg,"Concentrated restroom cleaner cartridges. Each 9oz cartridge makes 16 ready-to-use quarts. Removes soap scum, hard water, and limescale.",0,1
P029,TruShot 2.0 Hospital Cleaner/Disinfectant Cartridge (Qty 4),379848,New Building Items; Chemicals; TruShot,Supplier Order,Brady,,,78.49,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/301cbe3363d93f7_md.jpg,"Hospital-grade one-step cleaner and disinfectant cartridges. Kills bacteria, viruses, and fungi on all hard surfaces.",0,1
P030,TruShot 2.0 Power Cleaner/Degreaser Cartridge (Qty 4),379842,New Building Items; Chemicals; TruShot,Supplier Order,Brady,,,66.99,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/b9c14539916672f_md.jpg,"Heavy-duty degreaser cartridges for kitchens and high-grease areas. Cuts grease, oils, adhesives, and grime.",0,1
P031,TruShot 2.0 Glass/Multi-Surface Cleaner Cartridge (Qty 4),379846,New Building Items; Chemicals; TruShot,Supplier Order,Brady,,,53.49,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/bbfce0908271fc3_md.jpg,"Glass and all-purpose cartridges. Each 9oz cartridge makes up to 38 quarts. Streak-free on glass, mirrors, and counters.",0,1
P032,"Master Dispenser Key Set, 27 Keys on Ring",MASTER-SET,New Building Items; Cleaning Tools,Supplier Order,Special Order,,,61.49,,,,https://cdn11.bigcommerce.com/s-3o09zq/images/stencil/608x608/products/362/922/IMG_0163_1__15292.1730902098.jpg?c=2,"Opens 27 dispenser types from Georgia Pacific, Kimberly Clark, Bobrick, San Jamar, and more. One ring for every building.",0,1
P033,Carpet Prespray & Spotter RTU 32oz,CD2012,New Building Items; Chemicals,Supplier Order,Brady,,,4.49,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/cd2012.jpg,Ready-to-use carpet spot remover and traffic lane pretreatment. Spray on stains before extracting or shampooing.,0,1
P034,Stainless Steel Cleaner RTU 32oz,CO9100,New Building Items; Chemicals; Octapharma,Supplier Order,Brady,,,5.49,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/co9100.jpg,"Water-based stainless cleaner and protectant. No oily residue. For appliances, elevators, railings, and kitchen equipment.",0,1
P035,Gum Remover Aerosol 6.5oz,KL-AEROGUMRMVR,New Building Items; Chemicals,Supplier Order,Brady,,,8.00,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/70551044e9f0273_md.jpg,"Freezes gum, wax, and sticky residue to -40F for easy removal from carpet, upholstery, and flooring.",0,1
P036,"Bucketless Microfiber Mop Complete System 16""",LE7200,New Building Items; Cleaning Tools; Mopping,Supplier Order,Brady,,,88.99,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/le7200.jpg,"Complete bucketless mop with built-in 32oz solution bottle, 16-inch hook-and-loop frame, and 54-inch swivel handle.",0,1
P037,GoFit 6 Backpack Vacuum w/ Telescoping Wand Kit,PT107696,New Building Items; Vacuums; Equipment,Supplier Order,Brady,,,539.99,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/8a29aed76dd5455_md.jpg,Corded 6qt backpack with HEPA filtration and all-day harness. Xover tool works on carpet and hard floors. 50-foot cord.,0,1
P038,"Janitor Cart Complete Kit, 3 Shelf w/ Yellow & Black Bags & Lid",274BLKCARTWB,New Building Items; Cleaning Tools; Carts & Dollies,Supplier Order,WebstaurantStore,,,199.99,,,,https://cdnimg.webstaurantstore.com/images/products/large/783563/2830928.jpg,"Three-shelf cart kit with two 25-gallon bags (yellow, and black zippered with lid), mop and broom holders, and heavy-duty wheels.",0,1
P039,Dust Mop Treatment Spray 32oz,IDMD2012,Chemicals; Sweeping & Dust Mopping,Supplier Order,Brady,,,4.99,,,,https://www.jotform.com/uploads/tjroberts/form_files/dust_mop_treatment_bf6932c973e785443ce1054315e95b17.jpg,Ready-to-use spray that makes dust stick to your mop instead of resettling. Protects floor finish from grit scratches.,0,1
P040,"Consume Enzyme Cleaner & Drain Maintainer, 1 Gallon",CC2001,Chemicals,Supplier Order,Brady,,,19.99,,,,https://www.spartanchemical.com/globalassets/sharepoint/media-assets---all-pictures/product-photography/detail/309704_Consume.jpg,"Bacteria and enzyme cleaner that digests organic waste. Cleans floors and concrete, eliminates odors, and keeps drains clear.",0,1
P041,"Fantastico All Purpose Cleaner, Lavender, 1 Gallon",IDKL-CHAP15,Chemicals; Floor Cleaners,Supplier Order,Brady,,,14.49,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/6da6f33ee405ca8_md.jpg,"Super concentrate that makes 128 gallons of ready-to-use solution. Works on nearly any washable surface. No rinsing, no streaks.",0,1
P042,Oven & Grill Cleaner 32oz,IDKL-CHFS2,Chemicals; Kitchens (Sands),Supplier Order,Brady,,,6.49,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/d7803c6a805a550_md.jpg,"Heavy-duty, non-fuming cleaner for commercial ovens, grills, and flat tops. Works on warm or cold surfaces.",0,1
P043,"Sani-Tyze Food Contact Sanitizer, 1 Quart",CM8305,Chemicals; Kitchens (Sands),Supplier Order,Brady,,,4.49,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/cm8305.jpg,"Ready-to-use quat sanitizer safe for food-contact surfaces. Spray and wipe cutting boards, counters, and prep stations.",0,1
P044,"BioRenewables Glass Cleaner Concentrate, 2 Liter",CK4835,Chemicals; Octapharma,Supplier Order,Brady,,,91.99,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/ck4835.jpg,Clean On The Go concentrate. Each 2-liter bottle makes 33 gallons of streak-free glass cleaner. Green Seal certified.,0,1
P045,"Clean by Peroxy All Purpose Concentrate, 2 Liter (Qty 4)",CK3000,Chemicals; Octapharma,Supplier Order,Brady,,,118.49,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/ck3000.jpg,"Peroxide-based concentrate for glass, floors, walls, carpet, restrooms, and tile. Each bottle makes 33 gallons. Green Seal certified.",0,1
P046,"Xcelente Multi-Purpose Concentrate, 2 Liter (Qty 4)",CK8004,Chemicals; Octapharma,Supplier Order,Brady,,,61.99,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/ck8004.jpg,"Lavender-scent concentrate that makes 85 to 512 gallons per bottle. Streak-free shine on floors, walls, and counters.",0,1
P047,Crew Non-Acid Bathroom Disinfectant Cleaner 32oz,CF9200,Chemicals,Supplier Order,Brady,,,2.99,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/cf9200.jpg,"One-step non-acid disinfectant for bowls, urinals, sinks, and counters. Safe for daily use, septic-safe, EPA registered.",0,1
P048,"BRUTE Rim Caddy, Yellow",RB2350,Cleaning Tools,Supplier Order,Brady,,,72.49,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/6ad133ba6098d22_md.jpg,"Snaps onto a 44-gallon BRUTE rim and turns it into a mobile cleaning cart. Holds bottles, signs, bags, and gloves.",0,1
P049,"BRUTE 44 Gallon Trash Container, Gray",RA0044,Cleaning Tools,Supplier Order,Brady,,,65.49,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/dacc7f718f9bee7_md.jpg,44-gallon commercial can with venting channels and bag clips. NSF certified for food service. Lid sold separately.,0,1
P050,"BRUTE Caddy Bag, Yellow",RB0023,Cleaning Tools,Supplier Order,Brady,,,48.49,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/65b0bf4d655ee87_md.jpg,12-pocket vinyl bag that snaps onto any 32 or 44-gallon BRUTE rim. Carries your supplies with the can.,0,1
P051,Janitor Cart with 25 Gallon Bag,KL-500900,Cleaning Tools; Carts & Dollies,Supplier Order,Brady,,,244.49,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/91f2dc967779e5b_md.jpg,"Three-shelf cart with 25-gallon zippered bag, mop and broom holders, foldable handle, and smooth-rolling wheels.",0,1
P052,"Bobrick Universal Dispenser Key, CAT 74",PT0064,Cleaning Tools,Supplier Order,Brady,,,2.49,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/pt0064.jpg,"Universal replacement key for most Bobrick towel, tissue, soap, and seat cover dispensers with standard tumbler locks.",0,1
P053,"Commercial Mop Bucket & Side Press Wringer, 35 Quart Yellow",B072VBNT17,Cleaning Tools; Mopping,Supplier Order,Amazon,,,88.99,,,,https://m.media-amazon.com/images/I/71UgHk1YcPL._SX522_.jpg,35-quart rectangular mop bucket with easy side-press wringer on smooth-rolling casters.,0,1
P054,"12"" Extra-Wide Lint Roller w/ Extendable Handle (Qty 4)",1279004,Cleaning Tools,Supplier Order,WebstaurantStore,,,108.49,,,,https://cdnimg.webstaurantstore.com/images/products/large/777957/2643758.jpg,12-inch wide lint rollers cover 3x more area than handheld rollers. Extendable handle. Pack of 4.,0,1
P055,Unger SpeedClean Indoor Window Cleaning Kit,CK053,Cleaning Tools; Window Cleaning,Supplier Order,Special Order,,,238.49,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/we3001.jpg,"Complete drip-free indoor window system. Spray the pad, wipe the glass, and it dries streak-free.",0,1
P056,"BRUTE Cleaning Caddy for 44-Gallon Containers, Gray",FG264900GRAY,Cleaning Tools,Supplier Order,Amazon,,,61.49,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMBHj6dblQ7aJ0LyhIFUdvWuMtR4SZk7gtPA&usqp=CAU,Heavy-duty caddy that clips onto BRUTE 44-gallon cans and turns your rolling trash can into a cleaning station.,0,1
P057,"48"" Commercial Cotton Dust Mop w/ Wooden Handle",TIDY-TOOLS-48,Cleaning Tools; Mopping; Sweeping & Dust Mopping,Supplier Order,Amazon,,,83.49,,,,https://m.media-amazon.com/images/I/61WCDc+5S5L._AC_SL1500_.jpg,48-inch wide cotton dust mop covers far more ground than a broom and traps dust instead of scattering it.,0,1
P058,"Unger 4"" Light Duty Floor Scraper w/ 48"" Handle",WD0225,Cleaning Tools,Supplier Order,Brady,,,38.49,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/wd0225.jpg,4-foot handled scraper lets you remove stickers and stuck-on grime standing up instead of on your knees.,0,1
P059,"Wall & Baseboard Cleaning Mop w/ 82"" Telescoping Handle & 6 Pads",B0C8M7RQ5R,Cleaning Tools,Supplier Order,Amazon,,,30.99,,,,https://m.media-amazon.com/images/I/713hWGm1q8L._AC_SX679_.jpg,Telescoping wall and baseboard mop adjusts from 37 to 82 inches. Includes 6 washable pads.,0,1
P060,"WaveBrake 35 Qt Dual Chamber Mop Bucket, Side Press, Yellow",69035SYLRDKT,Cleaning Tools; Mopping,Supplier Order,WebstaurantStore,,,164.49,,,,https://cdnimg.webstaurantstore.com/images/products/large/475599/1773086.jpg,Professional 35-quart mop bucket system with WaveBrake anti-splash technology and side-press wringer.,0,1
P061,Corded 6qt Backpack Vacuum w/ HEPA & 8-Piece Tool Kit,457LAVBP6QT,Cleaning Tools; Vacuums,Supplier Order,WebstaurantStore,,,384.99,,,,https://cdnimg.webstaurantstore.com/images/products/large/394720/2568961.jpg,Corded 6-quart backpack vacuum with HEPA filtration and a complete 8-piece tool kit.,0,1
P062,"Corded 12"" Upright Vacuum w/ Shake Out Bag, 18qt",SC679K,Cleaning Tools; Vacuums,Supplier Order,WebstaurantStore,,,243.99,,,,https://cdnimg.webstaurantstore.com/images/products/large/554783/2955065.jpg,Commercial upright with a reusable 18-quart shake-out bag. No disposable bags to buy.,0,1
P063,"1/2 Cubic Yard Tilt Truck Dump Cart, 750 lb Capacity",DUC12A,Equipment; Carts & Dollies,Supplier Order,Amazon,,,876.99,,,,https://m.media-amazon.com/images/I/61FTDYNsRqL._AC_SL1500_.jpg,"Commercial tilt truck holds half a cubic yard and 750 lbs, yet is only 24 inches wide so it fits through standard doors.",0,1
P064,Square Scrub 4x10 Doodle Scrub Floor Prep Machine,SS-EBG-9,Equipment; Floor Machines,Supplier Order,Special Order,,,1791.49,,,,"https://images.hdsupplysolutions.com/image/upload/d_no_image.gif,f_auto,fl_lossy,h_600,q_auto,w_600/283474_MainProductImage_Lg.jpg","Corded compact floor scrubber for spaces full-size machines cannot reach: behind toilets, under counters, and corners.",0,1
P065,"Square Scrub 20"" Pivot Floor Preparation Machine",EBG-20-C,Equipment; Floor Machines,Supplier Order,Special Order,,,5572.99,,,,"https://images.hdsupplysolutions.com/image/upload/d_no_image.gif,f_auto,fl_lossy,h_600,q_auto,w_600/313664_MainProductImage_Lg.jpg",Corded 14x20 orbital floor machine with a pivoting head that follows uneven floors automatically.,0,1
P066,"Bissell 9"" Corded Walk-Behind Floor Scrubber & Polisher",BGFS650,Equipment; Floor Machines,Supplier Order,WebstaurantStore,,,210.99,,,,https://cdnimg.webstaurantstore.com/images/products/large/643016/2247708.jpg,Lightweight 8 lb scrubber and polisher in one machine. Easy to carry between buildings.,0,1
P067,"39"" Manual Push Floor Sweeper w/ Triple Brooms, 14.5 Gal",BC39S,Equipment; Floor Machines,Supplier Order,Special Order,,,613.95,,,,https://static.wixstatic.com/media/87a20c_77dfdd00841d4ed1a9f4c543573954b2~mv2.png,"Manual push sweeper with a 39-inch path sweeps up to 39,000 sq ft per hour. No power needed.",0,1
P068,"Rubbermaid Adaptable Flat Mop Kit for WaveBrake, 18""",2132426,Mopping,Supplier Order,Amazon,,,53.99,,,,https://m.media-amazon.com/images/I/51U0cI+AxpL._SL1500_.jpg,Complete 18-inch microfiber flat mop system that works with your existing WaveBrake bucket.,0,1
P069,"Sanitaire Transport Cordless Backpack Vacuum, 4 Qt HEPA",SC580A,Vacuums,Supplier Order,Special Order,,,1199.99,,,,https://www.sanitairecommercial.com/cdn/shop/files/SC580A_Front_withhose_1500px.jpg?v=1690203170,Cordless backpack under 15 lbs that vacuums 89% faster than pushing an upright around offices. HEPA filtration.,0,1
P070,Mosquito Carbon-Lite 6 Qt Corded Backpack Vacuum w/ HEPA,06-1060-BK,Vacuums,Supplier Order,Amazon,,,930.99,,,,https://m.media-amazon.com/images/I/51HUAbcwsaL._AC_SX679_.jpg,At 9.6 lbs this backpack is 22% lighter than most yet 42% more powerful. Includes HEPA filtration and tool kit.,0,1
P071,"Kitsure 45.5"" Collapsible Utility Wagon Cart, 440 lb",B0F9YP68HJ,Carts & Dollies,Supplier Order,Amazon,,,123.49,,,,https://m.media-amazon.com/images/I/71+8Uj70M9L._AC_SL1500_.jpg,Heavy-duty collapsible wagon holds 440 lbs and folds flat with one pull. Great for hauling supplies across large properties.,0,1
P072,"VIVOHOME Heavy-Duty Steel Mesh Garden Cart, 880 lb",B085TDSJT,Carts & Dollies,Supplier Order,Amazon,,,199.99,,,,https://m.media-amazon.com/images/I/81ib6j79B6L._AC_SX679_.jpg,Steel mesh utility cart holds 880 lbs on 10-inch wheels. Sides fold down for oversized loads.,0,1
P073,"16"" Battery Powered Walk-Behind Floor Scrubber Kit",C16,Floor Machines,Supplier Order,Special Order,,,2918.99,,,,https://static.wixstatic.com/media/87a20c_0873a0a0d67e4930b31ddb736b88c81e~mv2.png,"Cordless walk-behind scrubber that scrubs and vacuums in one pass, replacing traditional mopping.",0,1
P074,"21"" Self-Propelled Cordless Floor Scrubber Kit",POWER21SP,Floor Machines,Supplier Order,Special Order,,,4456.99,,,,https://static.wixstatic.com/media/f151f8_b42480901ad440b585a8f820eec62ae7~mv2.png,Cordless self-propelled scrubber with traction drive that moves itself forward and backward.,0,1
P075,Cordless Ride-On Floor Scrubber Complete Kit,CR21,Floor Machines,Supplier Order,Special Order,,,4918.49,,,,https://static.wixstatic.com/media/87a20c_2b1cb62d09e84bdea8bdfec01042f07d~mv2.png,Ride-on scrubber with seat and pedal operation. Drive it like a car instead of walking behind a machine.,0,1
P076,"40"" Cordless Ride-On Vacuum Floor Sweeper Kit",VACSWEEP40,Floor Machines; Sweeping & Dust Mopping,Supplier Order,Special Order,,,7687.99,,,,https://static.wixstatic.com/media/f151f8_bac2fbcfb9334905a40bdba979a7eac1~mv2.jpg,"Ride-on vacuum sweeper with a 40-inch cleaning width. Sweeps, vacuums, and collects debris in one pass.",0,1
P077,"Gator Stripping Boots, Large (8.5-9.5) w/ 2 Replacement Soles",KIT-SB-LG,PPE,Supplier Order,Brady,,,63.99,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/sd0079.jpg,Waterproof overshoes for floor stripping jobs. Slip over regular shoes to keep feet dry and grip slick floors.,0,1
P078,"Hirsh Iron Horse Heavy-Duty 4-Shelf Storage Rack, 2300 lb",B01LQUVDGM,Storage,Supplier Order,Amazon,,,149.99,,,,https://m.media-amazon.com/images/I/513tmEAeurL._AC_SX679_.jpg,"Boltless steel shelving holds 575 lbs per shelf, 2,300 lbs total. 36W x 18D x 60H.",0,1
P079,"Iris USA 4-Tier Heavy-Duty Plastic Shelving, 600 lb, Black",510023,Storage,Supplier Order,Amazon,,,82.99,,,,https://m.media-amazon.com/images/I/61VG1-cx35L._AC_SL1500_.jpg,"Plastic shelving holds 150 lbs per shelf, 600 lbs total. Will not rust in janitor closets. 36W x 18D x 56H.",0,1
P080,20 Foot High Reach Dusting Kit w/ 5-12 Foot Extension Pole,B07X7D5SSF,High Dusting,Supplier Order,Amazon,,,54.95,,,,https://m.media-amazon.com/images/I/71J6myyKbHL._AC_SX679_.jpg,"High reach kit with aluminum extension pole, cobweb duster, and microfiber feather duster. Reaches about 20 feet.",0,1
P081,EXTEND-A-REACH 36-Foot High Reach Cleaning Kit,B094NRCZQH,High Dusting,Supplier Order,Amazon,,,261.49,,,,https://m.media-amazon.com/images/I/813n3YBZ9DL._AC_SL1500_.jpg,Professional kit reaches 36+ feet with a heavy-duty 5-30 foot telescoping pole and 4 attachments.,0,1
